id,first_name,last_name,phone,preferred_job,availability,location,experience_years,last_contact,text_opt_in,application_status
cdb18d58-c7a8-4c82-bff4-4d61954e2769,Sheila,Cross,001-310-224-8919x2458,Warehouse,Weekends,West Rachaelview,2,2025-01-17,True,Contacted
d6ae1d33-163b-48c3-b05e-d5c2166fabd4,Sarah,Fischer,(462)800-0673x547,Restaurant,Morning,South Brianberg,3,2025-01-04,True,Hired
fbbede10-5917-45f2-8909-d2a3a37a20be,Michele,Bishop,+1-947-644-1785x37422,Restaurant,Evening,Rowlandborough,5,2025-01-16,False,New
2c258ffd-d544-4e71-a072-cdef34d8ce2c,Kenneth,Flores,001-846-455-6214x570,Healthcare,Morning,North Mark,2,2025-01-28,True,Interview
1d288cce-c172-40bb-8359-11e61dbbc958,Isabel,Foster,(825)798-2115x088,Healthcare,Flexible,West Madison,4,2025-01-27,False,Hired
1e062d33-1e97-4a34-b374-cc40c7042b93,Jessica,Holmes,001-612-494-6921,Hospitality,Weekends,Carpenterberg,5,2025-01-11,True,Contacted
981a4a77-e0d6-4760-b7c8-790ac67aa57a,Pedro,Mcdaniel,001-450-995-3930x9806,Restaurant,Flexible,Coreyborough,1,2025-01-28,False,Hired
0c87fbd5-43f2-43ce-b08f-00314b76cab1,Wanda,Davis,001-437-696-7172x809,Restaurant,Morning,Kaylachester,3,2025-01-03,False,Interview
a70fa144-cc2d-4fee-b151-e7a7b4febdbe,Jessica,Guzman,+1-351-713-7620x727,Restaurant,Flexible,West Elizabeth,5,2025-01-18,True,Interview
0f637ce1-c4f3-40af-a44b-8a9f0f7c3e5c,Jessica,Bates,223-662-6893x83277,Hospitality,Flexible,East Shannon,1,2025-01-18,False,Hired
5eaeb24f-b325-4c03-9d7d-6ee0ba2b0ade,Jesse,Lee,442.808.9821x5499,Healthcare,Morning,Gilbertmouth,3,2025-01-15,True,Interview
895c746f-90c1-4e52-aba5-8f85b22de47c,Allison,Moore,+1-566-775-2213x21006,Retail,Weekends,South William,4,2025-01-08,False,New
e8101006-e7ad-4b4e-8791-d6dbd43ac9e8,Frank,Brown,350-431-7001x3804,Healthcare,Morning,Hendrixtown,0,2025-01-09,False,Interview
b01ed0b7-7fd1-4081-a829-81c9d260f693,Lauren,Friedman,+1-796-609-2781x523,Retail,Weekends,North Kathleenstad,3,2025-01-15,False,Contacted
db52a107-0b9c-4205-b5db-25055d4a090f,Christian,Solis,8583095861,Warehouse,Flexible,West Deborahport,0,2025-01-22,True,Hired
6a892fd3-5c9c-462e-bc61-b6936034af4b,Jimmy,Valdez,001-766-613-8786x90298,Warehouse,Flexible,Latashachester,3,2025-01-04,True,Hired
c5138dd4-5bcf-485f-b023-025abd7972b2,Brian,Johnson,3795746620,Restaurant,Weekends,Lake Danielland,0,2025-01-28,False,New
6b5e98d9-facd-48b0-af30-245fa71f892f,Kevin,Perkins,001-328-486-7725x120,Healthcare,Weekends,Michaelfurt,2,2025-01-23,True,Interview
9985bf5c-9750-4846-b430-54f282d675b1,Matthew,Underwood,(976)277-6915x94436,Restaurant,Evening,Pruittville,2,2025-01-14,False,Hired
3bb504fa-6100-4c43-bc0a-9e6ebe4cd625,Cynthia,Drake,2859443626,Healthcare,Evening,South Randy,0,2025-01-20,False,New
a85c1f28-022a-4b0e-92a3-463f87e5c593,Justin,Sherman,230-665-3560x24055,Retail,Morning,Riosberg,2,2025-01-06,True,Hired
1357b18f-e395-48ac-84ff-6c1640fec03a,John,Morales,4414904656,Warehouse,Evening,Ryanmouth,5,2025-01-09,True,Hired
305f4b0d-5f29-4920-9951-13be5ad1da32,Julie,Sullivan,548-706-6887x6658,Retail,Evening,South Jessica,5,2025-01-22,False,New
33cd30c0-16d7-4645-ab2f-43c65ed2fcb3,Douglas,Young,280.381.7907x69818,Warehouse,Morning,Sarahstad,2,2025-01-09,False,New
ea747104-b334-4455-86ef-047d7adeb49b,Alexander,Pope,927.911.7376x1949,Retail,Weekends,Joshuafort,3,2025-01-06,True,Interview
a8aa1501-042d-47de-bebf-6c8d4f4ee600,Diana,Brown,(294)514-1535x7792,Restaurant,Morning,Matthewbury,2,2025-01-07,False,Interview
